YEAR,STATE,ST_CASE,VEH_NO,A_WRONGWAYDRV,A_DRDIS,A_DRDRO,A_VRD,A_BODY,A_IMP1,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_FIRE_EXP
2020,1,10049,3,2,2,2,2,1,2,2,1,1,2,4,2,3,2015,1
2020,1,10049,4,2,2,2,2,2,4,2,1,1,2,4,2,3,2008,1
2020,1,10049,5,2,2,2,2,3,2,2,1,1,1,4,2,3,2005,1
2020,1,10050,1,2,2,2,1,1,2,1,1,1,2,4,2,3,2005,1
2020,1,10051,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2013,1
2020,1,10051,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2017,1
2020,1,10052,1,2,2,2,1,1,2,2,1,1,2,4,2,3,1993,1
2020,1,10053,1,2,2,2,1,2,1,1,2,2,2,4,1,3,2005,1
2020,1,10054,1,2,2,2,1,2,1,1,2,2,2,4,1,3,2005,1
2020,1,10055,1,2,2,2,2,6,3,1,1,1,2,4,2,3,1999,1
2020,1,10055,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2011,1
2020,1,10056,1,2,2,2,1,2,2,1,2,2,2,4,2,3,1997,1
2020,1,10057,1,2,2,2,1,2,2,1,1,1,2,4,1,3,2016,1
2020,1,10058,1,2,2,2,1,1,2,1,2,2,2,4,1,3,2007,1
2020,1,10059,1,2,2,2,1,1,2,1,1,1,2,4,1,3,2010,1
2020,1,10060,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2005,1
2020,1,10061,1,2,2,2,1,1,2,1,1,1,2,4,2,3,2009,1
2020,1,10062,1,2,1,2,2,6,2,2,1,1,1,4,2,3,1999,1
2020,1,10062,2,2,2,2,2,2,4,2,1,1,2,4,2,3,2005,1
2020,1,10063,1,2,2,2,1,2,2,2,1,1,1,4,2,3,2011,1
2020,1,10063,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2013,1
2020,1,10063,3,2,2,2,2,3,2,2,1,1,2,4,2,3,2011,1
2020,1,10064,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2003,1
2020,1,10065,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2010,1
2020,1,10066,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2013,1
2020,1,10066,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2010,1
2020,1,10067,1,2,2,2,1,1,2,2,1,1,1,4,2,3,2000,1
2020,1,10067,2,2,2,2,2,6,2,2,1,1,1,4,2,3,1999,1
2020,1,10069,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2002,1
2020,1,10070,1,2,2,2,2,4,2,2,1,1,2,4,2,3,2012,1
2020,1,10070,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2005,1
2020,1,10070,3,2,2,2,2,2,2,2,1,1,2,4,2,3,2003,1
2020,1,10071,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2004,1
2020,1,10071,2,2,2,2,2,4,2,2,1,1,2,4,2,3,2006,1
2020,1,10072,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2005,1
2020,1,10072,2,2,2,2,2,2,3,1,1,1,2,4,2,3,2014,1
2020,1,10073,1,2,2,2,1,2,2,1,1,1,2,4,2,3,2009,1
2020,1,10074,1,2,2,2,1,2,2,2,1,1,2,4,1,3,2002,1
2020,1,10075,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2001,1
2020,1,10075,2,2,2,2,2,1,2,2,1,1,1,4,2,3,2003,1
2020,1,10076,1,2,1,2,2,3,5,1,1,1,2,4,2,3,2014,1
2020,1,10076,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2012,1
2020,1,10077,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2014,1
2020,1,10077,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2005,1
2020,1,10078,1,2,2,2,2,3,5,2,1,1,2,4,2,3,2000,1
2020,1,10078,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2013,1
2020,1,10079,1,2,2,2,2,1,5,2,1,1,2,4,2,3,2011,1
2020,1,10079,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2016,1
2020,1,10080,1,1,2,2,2,1,2,2,1,1,2,4,2,3,2015,1
2020,1,10080,2,2,2,2,2,1,2,2,1,1,1,4,2,3,2015,1
2020,1,10081,1,2,2,2,1,2,2,2,1,1,2,4,1,3,1995,1
2020,1,10082,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2007,1
2020,1,10083,1,2,2,2,1,2,5,2,1,1,1,4,2,3,2000,1
2020,1,10084,1,2,2,2,2,1,5,2,1,1,2,4,2,3,2001,1
2020,1,10084,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2018,1
2020,1,10085,1,2,2,2,1,6,2,1,1,1,1,4,2,3,1999,1
2020,1,10086,1,2,2,2,1,1,2,2,2,2,2,4,2,3,2008,1
2020,1,10087,1,2,2,2,1,7,2,2,4,1,2,1,1,3,1998,1
2020,1,10088,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2015,1
2020,1,10089,1,2,2,2,2,1,5,2,1,1,2,4,2,3,2017,1
2020,1,10089,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2001,1
2020,1,10090,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2015,1
2020,1,10090,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2010,1
2020,1,10090,3,2,2,2,2,6,2,2,1,1,1,4,2,3,2003,1
2020,1,10091,1,2,2,2,2,4,5,1,2,2,2,4,2,3,1995,1
2020,1,10091,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2015,1
2020,1,10092,1,2,2,2,2,6,5,1,1,1,1,4,2,3,2016,1
2020,1,10092,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2020,1
2020,1,10093,1,2,2,2,1,1,2,2,1,1,2,4,2,3,1999,1
2020,1,10094,1,2,2,2,1,1,2,2,1,1,2,4,2,3,1999,1
2020,1,10095,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2017,1
2020,1,10095,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2014,1
2020,1,10096,1,2,2,2,1,1,3,2,1,1,2,4,1,3,2002,1
2020,1,10096,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2015,1
2020,1,10096,3,2,2,2,2,1,2,2,1,1,2,4,2,3,2005,1
2020,1,10097,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2011,1
2020,1,10097,2,2,2,2,2,6,3,2,1,1,1,4,2,3,2020,1
2020,1,10098,1,1,2,2,2,3,2,1,1,1,2,4,1,3,2008,2
2020,1,10098,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2003,2
2020,1,10099,1,2,1,2,1,1,2,2,1,1,2,4,2,3,2012,1
2020,1,10099,2,2,2,2,2,3,2,2,2,2,2,4,2,3,2014,1
2020,1,10100,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2002,2
2020,1,10101,1,2,2,1,1,3,3,1,1,1,2,4,2,3,2002,1
2020,1,10102,1,2,2,2,1,3,1,1,1,1,2,4,1,3,2004,1
2020,1,10103,1,2,2,2,2,9,2,2,3,3,3,4,2,3,9999,1
2020,1,10104,1,2,2,2,2,2,2,2,1,1,1,4,2,3,2007,1
2020,1,10105,1,2,2,2,2,3,2,2,1,1,2,4,1,3,2020,1
2020,1,10105,2,2,2,2,2,6,4,2,1,1,1,4,2,3,2019,1
2020,1,10106,1,1,2,2,2,4,2,2,2,2,2,4,2,3,2008,1
2020,1,10106,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2018,1
2020,1,10106,3,2,2,2,2,3,2,2,2,2,2,4,2,3,2003,1
2020,1,10106,4,2,2,2,2,3,2,2,1,1,2,4,2,3,2013,1
2020,1,10106,5,2,2,2,2,2,2,2,1,1,2,4,2,3,2012,1
2020,1,10107,1,2,2,1,1,3,2,2,1,1,2,4,2,3,2018,1
2020,1,10108,1,2,2,2,1,3,2,1,3,3,3,4,2,3,2006,1
2020,1,10109,1,1,2,2,2,3,2,2,1,1,2,4,2,3,2005,1
2020,1,10109,2,2,2,2,2,2,2,2,1,1,2,4,2,3,9999,2
2020,1,10110,1,2,2,2,2,1,2,2,1,1,1,4,1,3,2010,1
2020,1,10110,2,2,2,2,2,2,4,1,1,1,2,4,2,3,2003,1
2020,1,10111,1,2,2,2,2,1,2,2,1,1,2,4,1,3,1998,1
2020,1,10111,2,2,2,2,2,1,4,1,1,1,2,4,1,3,2017,1
2020,1,10112,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2015,1
2020,1,10112,2,2,2,2,2,1,4,2,3,3,3,4,2,3,1999,1
2020,1,10113,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2002,1
2020,1,10113,2,2,2,2,2,6,4,2,1,1,2,4,2,3,2009,1
2020,1,10114,1,2,2,2,1,7,7,2,4,2,1,3,1,3,2012,1
2020,1,10114,2,2,2,2,2,6,5,2,1,1,1,4,2,3,2011,1
2020,1,10115,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2004,1
2020,1,10116,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2004,1
2020,1,10116,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2019,1
2020,1,10117,1,2,2,2,1,6,2,2,2,2,2,4,2,3,2005,1
2020,1,10117,2,2,2,2,2,6,5,2,1,1,2,4,2,3,2011,1
2020,1,10118,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2015,1
2020,1,10118,2,2,2,2,1,1,2,2,1,1,2,4,1,3,2006,1
2020,1,10119,1,2,2,2,1,1,2,1,2,2,2,4,2,3,1997,1
2020,1,10120,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2013,1
2020,1,10121,1,2,2,2,1,1,2,2,1,1,2,4,1,3,1997,1
2020,1,10121,2,2,2,2,2,2,2,1,1,1,2,4,2,3,2017,2
2020,1,10122,1,2,2,2,2,1,7,1,1,1,2,4,2,3,2016,1
2020,1,10122,2,2,2,2,2,4,7,1,1,1,2,4,2,3,2017,1
2020,1,10123,1,2,2,2,2,2,2,2,1,1,2,4,2,3,1999,1
2020,1,10124,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2010,1
2020,1,10124,2,2,2,2,2,8,2,2,1,1,1,4,2,1,2021,1
2020,1,10125,1,2,2,2,1,1,2,1,2,2,2,4,1,3,2015,1
2020,1,10126,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2019,1
2020,1,10127,1,2,2,2,1,1,3,2,1,1,2,4,2,3,2000,1
2020,1,10127,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2018,1
2020,1,10128,1,2,2,2,1,1,3,2,1,1,2,4,1,3,2008,1
2020,1,10128,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2012,1
2020,1,10129,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2002,1
2020,1,10129,2,2,2,2,2,6,2,1,1,1,1,4,2,3,2007,1
2020,1,10130,1,2,2,2,1,2,5,2,1,1,2,4,2,3,1999,1
2020,1,10130,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2018,1
2020,1,10131,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2002,1
2020,1,10131,2,2,2,2,2,3,4,2,3,3,3,4,2,3,1999,1
2020,1,10132,1,2,2,2,1,2,2,2,1,1,1,4,1,3,2008,2
2020,1,10133,1,2,2,2,2,1,4,2,1,1,1,4,2,3,1995,1
2020,1,10133,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2012,1
2020,1,10134,1,2,2,2,1,2,2,2,1,1,2,4,1,3,2005,1
2020,1,10135,1,2,1,2,1,2,2,2,1,1,2,4,1,3,2004,1
2020,1,10135,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2001,1
2020,1,10136,1,2,1,2,1,2,2,2,2,2,2,4,1,3,1997,1
2020,1,10137,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2006,1
2020,1,10138,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2015,1
2020,1,10138,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2006,1
2020,1,10139,1,2,2,2,1,6,2,1,1,1,1,4,2,3,2020,1
2020,1,10140,1,2,2,2,2,1,5,2,1,1,2,4,2,3,2001,1
2020,1,10140,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2012,1
2020,1,10140,3,2,2,2,2,3,2,2,1,1,2,4,2,3,2005,1
2020,1,10141,1,2,2,2,1,1,2,2,2,2,2,4,1,3,2008,1
2020,1,10141,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2016,1
2020,1,10142,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2015,1
2020,1,10143,1,2,2,2,1,1,5,2,1,1,2,4,2,3,2001,1
2020,1,10144,1,2,2,2,1,1,3,1,1,1,2,4,1,3,2000,2
2020,1,10145,1,2,2,2,1,1,2,2,1,1,2,4,1,3,1999,1
2020,1,10146,1,2,2,2,2,2,5,2,1,1,1,4,2,3,2016,1
2020,1,10146,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2002,1
2020,1,10147,1,2,2,2,1,1,2,2,2,2,2,4,2,3,2005,1
2020,1,10147,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2009,1
2020,1,10148,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2008,1
2020,1,10148,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2013,1
2020,1,10149,1,2,2,2,1,3,2,2,2,2,2,4,2,3,2006,1
2020,1,10150,1,2,1,2,1,3,1,1,1,1,2,4,2,3,2003,1
2020,1,10151,1,2,2,2,1,2,1,1,1,1,1,4,2,3,2001,1
2020,1,10152,1,2,2,2,1,3,2,1,1,1,2,4,1,3,2004,1
2020,1,10153,1,2,2,2,1,7,2,2,4,1,2,1,2,3,2008,1
2020,1,10154,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2007,1
2020,1,10155,1,2,2,2,1,3,5,1,1,1,2,4,1,3,2005,1
2020,1,10155,2,2,2,2,2,9,5,2,3,3,3,4,2,3,9999,1
2020,1,10156,1,2,2,2,1,2,2,2,1,1,1,4,2,3,2008,1
2020,1,10157,1,2,2,2,1,1,5,1,1,1,2,4,1,3,2001,1
2020,1,10158,1,2,2,2,1,1,4,2,1,1,2,4,1,3,2007,1
2020,1,10159,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2014,1
2020,1,10159,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2016,1
2020,1,10160,1,2,2,2,1,3,1,1,1,1,2,4,2,3,2011,1
2020,1,10161,1,2,2,1,1,2,2,1,1,1,1,4,2,3,1998,1
2020,1,10162,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2010,1
2020,1,10163,1,2,2,2,1,1,2,2,2,2,2,4,1,3,2015,1
2020,1,10164,1,2,2,2,1,1,2,1,1,1,2,4,2,3,2005,1
2020,1,10165,1,1,2,2,2,2,2,2,2,2,2,4,2,3,2004,1
2020,1,10165,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2019,1
2020,1,10166,1,1,2,2,2,1,2,2,2,2,2,4,2,3,2020,1
2020,1,10166,2,2,2,2,2,6,2,2,3,3,3,4,2,3,2018,1
2020,1,10167,1,2,2,1,1,6,2,2,1,1,1,4,2,3,2019,1
2020,1,10168,1,2,2,2,1,2,2,2,1,1,2,4,1,3,2001,1
2020,1,10169,1,2,1,2,2,1,2,2,1,1,2,4,2,3,2018,1
2020,1,10169,2,2,2,2,2,2,4,2,3,3,3,4,2,3,2000,1
2020,1,10169,3,2,2,2,2,6,2,2,1,1,1,4,2,3,2016,1
2020,1,10170,1,2,2,2,2,1,2,2,2,2,2,4,1,3,2006,1
2020,1,10171,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2004,1
2020,1,10172,1,2,2,2,2,1,7,2,3,3,3,4,2,3,9999,1
2020,1,10173,1,2,2,2,2,9,2,2,3,3,3,4,2,3,9999,1
2020,1,10174,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2003,1
2020,1,10174,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2017,1
2020,1,10176,1,2,2,2,2,1,3,2,2,2,2,4,2,3,2006,1
2020,1,10176,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2002,1
2020,1,10177,1,2,1,2,1,1,2,1,1,1,2,4,1,3,2005,1
2020,1,10178,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2010,1
2020,1,10178,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2003,1
2020,1,10179,1,2,2,2,2,2,5,2,1,1,2,4,2,3,2013,1
2020,1,10179,2,2,2,2,2,1,2,2,2,2,2,4,2,3,2012,1
2020,1,10180,1,2,2,2,1,2,2,2,2,2,2,4,2,3,1998,1
2020,1,10181,1,2,2,2,2,6,2,2,2,2,2,4,1,3,2008,1
2020,1,10181,2,2,2,2,2,1,4,2,2,2,2,4,2,3,2006,1
2020,1,10182,1,2,2,2,1,3,1,1,2,2,2,4,1,3,2003,1
2020,1,10183,1,1,2,2,2,2,2,2,2,2,2,4,2,3,2000,1
2020,1,10183,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2013,1
2020,1,10184,1,2,2,2,1,1,5,1,1,1,2,4,2,3,2016,1
2020,1,10185,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2015,1
2020,1,10186,1,2,2,2,2,1,2,2,2,2,2,4,2,3,2018,1
2020,1,10187,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2013,1
2020,1,10188,1,2,1,2,1,9,1,1,1,1,2,4,2,3,9999,1
2020,1,10190,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2016,1
2020,1,10191,1,2,2,2,1,6,1,1,1,1,1,4,2,3,1996,1
2020,1,10192,1,2,2,2,1,2,2,1,1,1,2,4,2,3,2002,1
2020,1,10192,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2015,1
2020,1,10192,3,2,2,2,2,2,2,1,1,1,2,4,2,3,2018,1
2020,1,10193,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2007,1
2020,1,10193,2,2,2,2,2,2,5,2,1,1,2,4,2,3,1990,1
2020,1,10194,1,2,1,2,1,1,2,1,1,1,2,4,1,3,2004,1
2020,1,10195,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2012,1
2020,1,10196,1,2,2,2,1,1,2,1,1,1,2,4,1,3,2012,1
2020,1,10197,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2007,1
2020,1,10197,2,2,2,2,2,3,5,1,1,1,2,4,2,3,2004,1
2020,1,10198,1,2,2,2,2,3,4,2,1,1,2,4,2,3,2019,1
2020,1,10198,2,2,2,2,2,6,2,1,1,1,2,4,2,3,2016,1
2020,1,10199,1,2,1,2,2,2,2,2,1,1,1,4,2,3,2014,1
2020,1,10199,2,2,2,2,2,2,4,2,1,1,2,4,2,3,2009,1
2020,1,10199,3,2,2,2,2,1,4,2,1,1,2,4,2,3,2008,1
2020,1,10199,4,2,2,2,2,1,2,2,1,1,2,4,2,3,1999,1
2020,1,10200,1,2,2,2,2,2,5,2,1,1,2,4,1,3,2008,1
2020,1,10200,2,2,2,2,2,2,4,1,1,1,1,4,2,3,2017,1
2020,1,10201,1,2,2,2,2,9,3,2,3,3,3,4,2,3,9999,2
2020,1,10201,2,2,2,2,2,7,2,2,4,1,2,1,1,3,2000,2
2020,1,10202,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2015,1
2020,1,10203,1,2,2,2,1,2,2,2,2,2,2,4,1,3,2003,1
2020,1,10204,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2015,1
2020,1,10205,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2001,1
2020,1,10206,1,2,2,2,1,1,2,1,1,1,2,4,1,3,2007,1
2020,1,10207,1,2,2,2,2,1,2,2,1,1,2,4,1,3,2019,1
2020,1,10207,2,2,2,2,2,2,5,2,1,1,2,4,2,3,2015,1
2020,1,10208,1,2,2,2,1,1,2,1,2,2,2,4,1,3,2000,1
2020,1,10209,1,2,2,2,2,2,2,2,1,1,2,4,1,3,2010,1
2020,1,10210,1,2,2,2,1,6,1,1,1,1,2,4,2,3,2019,1
2020,1,10211,1,2,2,2,2,3,3,2,1,1,2,4,2,3,2015,1
2020,1,10211,2,2,2,2,2,4,2,2,1,1,2,4,2,3,2008,1
2020,1,10212,1,2,2,2,1,2,2,1,1,1,2,4,1,3,2001,1
2020,1,10213,1,2,2,2,1,3,2,1,1,1,2,4,2,3,1998,1
2020,1,10214,1,2,2,2,1,1,2,2,2,2,2,4,1,3,2007,1
2020,1,10215,1,2,2,2,2,7,1,2,4,1,2,1,2,3,2016,1
2020,1,10216,1,2,2,2,1,3,2,2,1,1,2,4,1,3,2009,1
2020,1,10217,1,2,2,2,1,1,2,1,1,1,2,4,1,3,2019,1
2020,1,10218,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2014,1
2020,1,10218,2,2,2,2,2,7,3,2,4,1,2,1,2,3,2016,1
