make,model,car_year,drive_train,curb_weight,car_height,car_width,car_length
ACURA,TL,2008,FWD,1615,1440,1834,4808
ACURA,TL,2009,AWD,1805,1427,1880,4966
ACURA,TL,2010,AWD,1806,1453,1880,4961
ACURA,TL,2011,AWD,1794,1455,1880,4973
ACURA,TL,2012,4WD,1800,1453,1880,4961
ACURA,TL,2013,4WD,1809,1453,1880,4966
ACURA,TLX,2015,AWD,1686,1445,1854,4831
ACURA,TLX,2016,AWD,1700,1448,1854,4834
ACURA,TLX,2017,AWD,1700,1448,1854,4834
ACURA,TLX,2018,AWD,1716,1445,1854,4845
ACURA,TLX,2019,AWD,1705,1445,1854,4869
ACURA,TLX,2020,AWD,1700,1448,1854,4836
ACURA,TLX,2021,AWD,1796,1433,1859,4943
ACURA,TLX,2021,FWD,1682,1433,1910,4943
ACURA,TLX,2022,AWD,1775,1433,1910,4943
ACURA,TLX,2022,FWD,1681,1433,1910,4943
ACURA,TLX,2023,AWD,1781,1433,1956,4943
ACURA,TLX,2023,FWD,1682,1433,1910,4943
ACURA,TLX,2024,AWD,1811,1432,1909,4943
ACURA,TLX,2024,FWD,1719,1433,1859,4943
ACURA,TLX,2025,AWD,1805,1432,1900,4948
ACURA,TLX,2025,FWD,1682,1433,1910,4943
ACURA,TSX,2004,NA,1465,1430,1763,4600
ACURA,TSX,2005,NA,1459,1435,1760,4575
ACURA,TSX,2006,FWD,1466,1429,1763,4615
ACURA,TSX,2007,FWD,1495,1429,1763,4615
ACURA,TSX,2008,FWD,1465,1430,1735,4615
ACURA,TSX,2009,FWD,1554,1440,1839,4727
ACURA,TSX,2010,FWD,1544,1438,1839,4714
ACURA,TSX,2011,FWD,1568,1438,1839,4727
ACURA,TSX,2012,FWD,1575,1440,1840,4705
ACURA,TSX,2013,FWD,1573,1440,1839,4727
ACURA,TSX,2014,FWD,1554,1440,1839,4727
ACURA,ZDX,2024,AWD,2606,1636,1999,5029
ACURA,ZDX,2024,RWD,2605,1636,1976,4989
ACURA,ZDX,2025,AWD,2786,1635,1955,5029
ACURA,ZDX,2025,RWD,2370,1636,1956,5024
ALFA,GIULIA,2021,AWD,1698,1379,1872,4636
ALFA,GIULIA,2021,RWD,1597,1425,1872,4636
ALFA,GIULIA,2022,AWD,1605,1436,1860,4639
ALFA,GIULIA,2022,RWD,1560,1438,1860,4639
ALFA,GIULIA,2023,AWD,1638,1394,1872,4636
ALFA,GIULIA,2023,RWD,1560,1438,1860,4643
ALFA,GIULIA,2024,AWD,1652,1435,1872,4636
ALFA,GIULIA,2024,RWD,1593,1379,1872,4636
ALFA,GIULIA,2025,AWD,1610,1438,1860,4643
ALFA,GIULIA,2025,RWD,1590,1438,1860,4643
ALFA,GIULIA,2026,AWD,1720,1445,1875,4660
ALFA,GIULIA,2026,RWD,1650,1445,1875,4675
ALFA,GIULIA QUADRIFOGLIO,2021,RWD,1524,1438,1874,4639
ALFA,GIULIA QUADRIFOGLIO,2022,RWD,1524,1426,1873,4639
ALFA,GIULIA QUADRIFOGLIO,2023,RWD,1573,1382,1872,4636
ALFA,GIULIA QUADRIFOGLIO,2024,RWD,1537,1394,1872,4636
ALFA,STELVIO,2021,AWD,1841,1648,1903,4687
ALFA,STELVIO,2021,RWD,1735,1648,1903,4687
ALFA,STELVIO,2022,AWD,1826,1671,1903,4687
ALFA,STELVIO,2022,RWD,1764,1671,1903,4687
ALFA,STELVIO,2023,AWD,1845,1671,1903,4687
ALFA,STELVIO,2023,RWD,1771,1671,1903,4687
ALFA,STELVIO,2024,AWD,1847,1671,1903,4687
ALFA,STELVIO,2024,RWD,1770,1671,1903,4687
ALFA,STELVIO,2025,AWD,1834,1676,1902,4689
ALFA,STELVIO,2026,AWD,1890,1675,1905,4690
ALFA,STELVIO QUADRIFOGLIO,2021,AWD,1851,1676,1902,4689
ALFA,STELVIO QUADRIFOGLIO,2022,AWD,1839,1676,1900,4689
ALFA,STELVIO QUADRIFOGLIO,2023,AWD,1911,1674,1976,4701
ALFA,STELVIO QUADRIFOGLIO,2024,AWD,1986,1669,1902,4689
ALFA,TONALE,2026,AWD,1850,1605,1835,4528
ALFA,TONALE EAWD,2024,AWD,1835,1601,1835,4528
ALFA,TONALE EAWD,2025,AWD,1835,1674,1835,4528
AUDI,A3,2006,AWD,1450,1428,1765,4203
AUDI,A3,2008,AWD,1475,1429,1765,4295
AUDI,A3,2013,AWD,1530,1423,1765,4286
AUDI,A3,2016,AWD,1515,1405,1796,4456
AUDI,A3,2018,AWD,1515,1416,1796,4458
AUDI,A3,2024,AWD,1560,1415,1816,4504
AUDI,A3,2024,FWD,1485,1415,1816,4500
AUDI,A3,2025,AWD,1580,1415,1816,4500
AUDI,A3,2025,FWD,1385,1430,1816,4495
AUDI,A3,2026,AWD,1540,1420,1820,4510
AUDI,A3,2026,FWD,1380,1435,1820,4360
AUDI,A4,1996,NA,1280,1415,1733,4520
AUDI,A4,2002,NA,1495,1428,1772,4547
AUDI,A4,2003,NA,1395,1428,1766,4547
AUDI,A4,2004,NA,1520,1428,1766,4547
AUDI,A4,2005,NA,1540,1428,1772,4586
AUDI,A4,2006,AWD,1540,1427,1772,4586
AUDI,A4,2008,AWD,1550,1427,1826,4703
AUDI,A4,2009,AWD,1540,1427,1826,4703
AUDI,A4,2010,AWD,1635,1427,1826,4704
AUDI,A4,2011,AWD,1645,1427,1826,4701
AUDI,A4,2012,AWD,1645,1427,1826,4704
AUDI,A4,2013,AWD,1655,1427,1826,4702
AUDI,A4,2014,AWD,1645,1427,1826,4701
AUDI,A4,2015,AWD,1655,1427,1826,4701
AUDI,A4,2016,AWD,1590,1427,1842,4726
AUDI,A4,2017,AWD,1645,1427,1842,4726
AUDI,A4,2019,AWD,1630,1428,1842,4727
AUDI,A4,2021,AWD,1650,1427,1847,4727
AUDI,A4,2024,AWD,1655,1430,1847,4762
AUDI,A4,2025,AWD,1720,1435,1850,4780
AUDI,A4 ALLROAD,2021,AWD,1735,1494,1842,4763
AUDI,A4 ALLROAD,2024,AWD,1745,1494,1847,4763
AUDI,A4 ALLROAD,2025,AWD,1780,1498,1850,4780
AUDI,A5,2010,AWD,1610,1392,1854,4625
AUDI,A5,2012,AWD,1590,1391,1854,4625
AUDI,A5,2014,AWD,1614,1392,1854,4636
AUDI,A5,2015,AWD,1635,1392,1854,4636
AUDI,A5,2016,AWD,1680,1392,1854,4636
AUDI,A5,2018,AWD,1620,1371,1846,4673
AUDI,A5,2019,AWD,1640,1386,1843,4733
AUDI,A5,2021,AWD,1675,1392,1844,4765
AUDI,A5,2026,AWD,1720,1405,1850,4775
AUDI,A5,2026,FWD,1560,1405,1850,4780
AUDI,A5 CABRIOLET,2021,AWD,1780,1379,1844,4696
AUDI,A5 CABRIOLET,2024,AWD,1800,1382,1847,4699
AUDI,A5 COUPE,2024,AWD,1695,1372,1844,4697
AUDI,A5 SEDAN,2025,AWD,1650,1430,1850,4770
AUDI,A5 SEDAN,2025,FWD,1580,1435,1855,4790
AUDI,A5 SPORTBACK,2021,AWD,1680,1399,1843,4732
AUDI,A5 SPORTBACK,2024,AWD,1723,1402,1844,4758
AUDI,A5 SPORTBACK,2025,AWD,1750,1405,1855,4785
AUDI,A6,2002,NA,1720,1453,1810,4833
AUDI,A6,2003,NA,1725,1453,1810,4796
AUDI,A6,2004,NA,1685,1453,1810,4835
AUDI,A6,2006,AWD,1700,1460,1855,4916
AUDI,A6,2008,AWD,1670,1459,1855,4916
AUDI,A6,2009,AWD,1705,1459,1855,4927
AUDI,A6,2011,AWD,1885,1468,1854,4925
AUDI,A6,2012,AWD,1845,1455,1874,4915
AUDI,A6,2013,AWD,1835,1468,1875,4925
AUDI,A6,2014,AWD,1834,1468,1875,4925
AUDI,A6,2015,AWD,1835,1468,1875,4933
AUDI,A6,2016,AWD,1760,1468,1874,4933
AUDI,A6,2018,AWD,1845,1455,1874,4933
AUDI,A6,2019,AWD,1845,1457,1886,4939
AUDI,A6,2021,AWD,1850,1458,1887,4938
AUDI,A6 (WITH REAR SEAT SABS),2021,AWD,1845,1458,1887,4940
AUDI,A6 ALLROAD,2021,AWD,1985,1539,1890,4949
AUDI,A6 ALLROAD,2024,AWD,2015,1497,1902,4951
AUDI,A6 ALLROAD,2025,AWD,2055,1496,1885,4950
AUDI,A6 ALLROAD,2026,AWD,2050,1505,1905,4970
AUDI,A6 E-TRON,2025,AWD,2380,1440,1960,4960
AUDI,A6 SEDAN,2024,AWD,1840,1457,1887,4939
AUDI,A6 SEDAN,2025,AWD,1895,1459,1886,4939
AUDI,A6 SEDAN,2026,AWD,1920,1460,1890,4965
AUDI,A6 SPORTBACK E-TRON,2027,AWD,2350,1420,1960,4960
AUDI,A6 SPORTBACK E-TRON,2027,RWD,2150,1440,1960,4960
AUDI,A7,2013,AWD,1845,1420,1911,4969
AUDI,A7,2014,AWD,1840,1420,1910,4968
AUDI,A7,2016,AWD,1935,1420,1910,4986
AUDI,A7,2017,AWD,1930,1419,1911,4984
AUDI,A7,2018,AWD,1945,1420,1910,4983
AUDI,A7,2021,AWD,1925,1422,1908,4968
AUDI,A7,2024,AWD,2005,1422,1908,4969
AUDI,A7,2025,AWD,2005,1422,1908,4976
AUDI,A7 (WITH REAR SEAT SABS),2021,AWD,1980,1427,1908,4969
AUDI,A7 PHEV,2021,AWD,2105,1417,1908,4969
AUDI,A8,2000,NA,1800,1420,1894,5034
AUDI,A8,2006,AWD,1945,1444,1894,5051
AUDI,A8,2008,AWD,1995,1444,1897,5051
AUDI,A8,2012,AWD,1945,1460,1949,5137
AUDI,A8,2013,AWD,1999,1461,1948,5136
AUDI,A8,2026,AWD,2120,1475,1950,5330
AUDI,A8 LWB,2024,AWD,2220,1488,1945,5320
AUDI,A8 LWB,2025,AWD,2150,1475,1945,5320
AUDI,A8L,2021,AWD,2110,1473,1945,5317
AUDI,A8L PHEV,2021,AWD,2395,1473,1945,5317
AUDI,ALL-NEW Q5,2025,AWD,1910,1665,1905,4750
AUDI,ALL-NEW Q5 SPORTBACK,2025,AWD,1870,1650,1895,4720
AUDI,ALL-NEW SQ5,2025,AWD,2015,1660,1900,4710
AUDI,ALL-NEW SQ5 SPORTBACK,2025,AWD,2040,1625,1900,4720
AUDI,ALLROAD,2002,AWD,1845,1528,1852,4810
AUDI,AUDI A3,2022,AWD,1575,1427,1816,4554
AUDI,AUDI A3,2022,FWD,1495,1425,1816,4495
AUDI,AUDI A3,2023,AWD,1535,1425,1816,4493
AUDI,AUDI A3,2023,FWD,1485,1427,1816,4501
AUDI,AUDI A4,2022,AWD,1645,1427,1842,4727
AUDI,AUDI A4,2023,AWD,1630,1427,1847,4762
AUDI,AUDI A4 ALLROAD,2022,AWD,1705,1493,1847,4763
AUDI,AUDI A4 ALLROAD,2023,AWD,1735,1493,1847,4762
AUDI,AUDI A5,2022,AWD,1680,1399,1847,4765
AUDI,AUDI A5 CABRIOLET,2022,AWD,1780,1382,1844,4696
AUDI,AUDI A5 CABRIOLET,2023,AWD,1845,1387,1847,4691
AUDI,AUDI A5 COUPE,2023,AWD,1700,1372,1843,4697
AUDI,AUDI A5 SPORTBACK,2022,AWD,1680,1387,1844,4757
AUDI,AUDI A5 SPORTBACK,2023,AWD,1720,1382,1844,4757
AUDI,AUDI A6,2022,AWD,1880,1455,1887,4938
AUDI,AUDI A6 ALLROAD,2022,AWD,1965,1497,1886,4951
AUDI,AUDI A6 ALLROAD,2023,AWD,2060,1497,1902,4951
AUDI,AUDI A6 SEDAN,2023,AWD,1830,1458,1887,4938
AUDI,AUDI A7,2022,AWD,1985,1425,1902,4968
AUDI,AUDI A7,2023,AWD,1975,1422,1908,4969
AUDI,AUDI A7 PHEV,2022,AWD,2095,1422,1908,4969
AUDI,AUDI A8 LWB,2022,AWD,2150,1488,1945,5320
AUDI,AUDI A8 LWB,2023,AWD,2210,1488,1945,5320
AUDI,AUDI E-TRON,2022,AWD,2565,1629,1935,4901
AUDI,AUDI E-TRON,2023,AWD,2565,1629,1935,4902
AUDI,AUDI E-TRON GT,2022,AWD,2345,1415,1963,4989
AUDI,AUDI E-TRON GT,2023,AWD,2276,1414,1964,4989
AUDI,AUDI E-TRON S,2022,AWD,2620,1664,1976,4902
AUDI,AUDI E-TRON S,2023,AWD,2655,1629,1935,4902
AUDI,AUDI E-TRON S SPORTBACK,2022,AWD,2655,1616,1935,4902
AUDI,AUDI E-TRON S SPORTBACK,2023,AWD,2695,1651,1935,4910
AUDI,AUDI E-TRON SPORTBACK,2022,AWD,2655,1616,1935,4901
AUDI,AUDI E-TRON SPORTBACK,2023,AWD,2621,1616,1935,4901
AUDI,AUDI Q3,2022,AWD,1750,1615,1849,4486
AUDI,AUDI Q3,2023,AWD,1770,1598,1849,4486
AUDI,AUDI Q4 E-TRON,2022,AWD,2235,1632,1865,4588
AUDI,AUDI Q4 E-TRON,2023,AWD,2250,1633,1865,4588
AUDI,AUDI Q4 E-TRON,2023,RWD,2095,1641,1864,4590
AUDI,AUDI Q4 SPORTBACK E-TRON,2022,AWD,2210,1614,1865,4588
AUDI,AUDI Q4 SPORTBACK E-TRON,2023,AWD,2245,1614,1865,4588
AUDI,AUDI Q5,2022,AWD,1835,1657,1893,4682
AUDI,AUDI Q5,2023,AWD,1780,1659,1892,4681
AUDI,AUDI Q5 PHEV,2022,AWD,2125,1664,1892,4681
AUDI,AUDI Q5 PHEV,2023,AWD,2095,1659,1893,4682
AUDI,AUDI Q5 SPORTBACK,2022,AWD,1935,1657,1893,4689
AUDI,AUDI Q5 SPORTBACK,2023,AWD,1875,1659,1893,4690
AUDI,AUDI Q7,2022,AWD,2243,1745,1971,5062
AUDI,AUDI Q7,2023,AWD,2304,1755,1971,5062
AUDI,AUDI Q8,2022,AWD,2169,1705,1995,4986
AUDI,AUDI Q8,2023,AWD,2270,1707,1994,4993
AUDI,AUDI R8,2022,AWD,1670,1236,1940,4429
AUDI,AUDI R8,2022,RWD,1595,1240,1940,4429
AUDI,AUDI R8 COUPE,2023,AWD,1680,1240,1940,4430
AUDI,AUDI R8 COUPE,2023,RWD,1595,1240,1940,4429
AUDI,AUDI R8 SPYDER,2022,AWD,1720,1242,1940,4429
AUDI,AUDI R8 SPYDER,2022,RWD,1700,1242,1940,4429
AUDI,AUDI R8 SPYDER,2023,AWD,1770,1242,1940,4429
AUDI,AUDI R8 SPYDER,2023,RWD,1770,1242,1940,4429
AUDI,AUDI RS 3,2022,AWD,1575,1412,1851,4507
AUDI,AUDI RS 3,2023,AWD,1609,1412,1851,4507
AUDI,AUDI RS 5,2022,AWD,1740,1372,1862,4722
AUDI,AUDI RS 5 COUPE,2023,AWD,1740,1372,1866,4723
AUDI,AUDI RS 5 SPORTBACK,2022,AWD,1845,1391,1866,4783
AUDI,AUDI RS 5 SPORTBACK,2023,AWD,1795,1399,1867,4783
AUDI,AUDI RS 6 AVANT,2022,AWD,2075,1466,1950,4995
AUDI,AUDI RS 6 AVANT,2023,AWD,2150,1498,1951,4995
AUDI,AUDI RS 7,2022,AWD,2320,1436,1950,5012
AUDI,AUDI RS 7,2023,AWD,2140,1435,1951,5009
AUDI,AUDI RS E-TRON GT,2022,AWD,2370,1399,1964,4989
AUDI,AUDI RS E-TRON GT,2023,AWD,2380,1394,1963,4989
AUDI,AUDI RS Q8,2022,AWD,2485,1750,1999,5011
AUDI,AUDI RS Q8,2023,AWD,2390,1750,1999,5012
AUDI,AUDI S3,2022,AWD,1573,1415,1816,4503
AUDI,AUDI S3,2023,AWD,1575,1407,1783,4562
AUDI,AUDI S4,2022,AWD,1770,1405,1847,4742
AUDI,AUDI S4,2023,AWD,1745,1427,1847,4762
AUDI,AUDI S5,2022,AWD,1745,1364,1847,4679
AUDI,AUDI S5 CABRIOLET,2022,AWD,1880,1382,1849,4757
AUDI,AUDI S5 CABRIOLET,2023,AWD,1875,1384,1846,4705
AUDI,AUDI S5 COUPE,2023,AWD,1755,1362,1846,4705
AUDI,AUDI S5 SPORTBACK,2022,AWD,1765,1399,1844,4765
AUDI,AUDI S5 SPORTBACK,2023,AWD,1845,1397,1843,4765
AUDI,AUDI S6,2022,AWD,2085,1466,1885,4953
AUDI,AUDI S6 SEDAN,2023,AWD,2070,1459,1887,4938
AUDI,AUDI S7,2022,AWD,2110,1417,1908,4978
AUDI,AUDI S7,2023,AWD,2095,1417,1908,4979
AUDI,AUDI S8 LWB,2022,AWD,2360,1473,1945,5320
AUDI,AUDI S8 LWB,2023,AWD,2305,1473,1945,5320
AUDI,AUDI SQ5,2022,AWD,2000,1661,1892,4681
AUDI,AUDI SQ5,2023,AWD,1985,1635,1893,4689
AUDI,AUDI SQ5 SPORTBACK,2022,AWD,1985,1633,1893,4689
AUDI,AUDI SQ5 SPORTBACK,2023,AWD,2030,1664,1892,4681
AUDI,AUDI SQ7,2022,AWD,2375,1748,1970,5067
AUDI,AUDI SQ7,2023,AWD,2390,1755,1971,5071
AUDI,AUDI SQ8,2022,AWD,2399,1707,1994,5006
AUDI,AUDI SQ8,2023,AWD,2345,1708,1995,5006
AUDI,AUDI TT,2022,AWD,1460,1353,1832,4191
AUDI,AUDI TT COUPE,2023,AWD,1492,1372,1832,4191
AUDI,AUDI TT ROADSTER,2022,AWD,1485,1353,1832,4191
AUDI,AUDI TT ROADSTER,2023,AWD,1485,1353,1832,4191
AUDI,AUDI TT RS,2022,AWD,1475,1344,1832,4201
AUDI,AUDI TTS,2022,AWD,1470,1353,1832,4191
AUDI,AUDI TTS COUPE,2023,AWD,1465,1343,1832,4191
AUDI,E-TRON,2021,AWD,2605,1664,1935,4902
AUDI,E-TRON GT,2024,AWD,2250,1414,1964,4989
AUDI,E-TRON SPORTBACK,2021,AWD,2640,1661,1935,4902
AUDI,Q3,2015,AWD,1660,1608,1831,4389
AUDI,Q3,2017,AWD,1705,1590,1831,4389
AUDI,Q3,2020,AWD,1715,1598,1849,4486
AUDI,Q3,2021,AWD,1765,1628,1849,4486
AUDI,Q3,2024,AWD,1770,1616,1849,4486
AUDI,Q3,2025,AWD,1745,1607,1849,4484
AUDI,Q3,2026,AWD,1780,1620,1855,4500
AUDI,Q4 E-TRON,2024,AWD,2215,1632,1865,4588
AUDI,Q4 E-TRON,2024,RWD,2125,1632,1865,4588
AUDI,Q4 E-TRON,2025,AWD,2250,1632,1865,4588
AUDI,Q4 E-TRON,2025,RWD,2135,1632,1865,4588
AUDI,Q4 E-TRON,2026,AWD,2150,1630,1865,4590
AUDI,Q4 E-TRON,2026,RWD,2100,1630,1870,4590
AUDI,Q4 SPORTBACK E-TRON,2024,AWD,2130,1614,1865,4590
AUDI,Q4 SPORTBACK E-TRON,2025,AWD,2210,1614,1865,4588
AUDI,Q4 SPORTBACK E-TRON,2026,AWD,2225,1614,1865,4588
AUDI,Q5,2010,AWD,1795,1653,1880,4629
AUDI,Q5,2011,AWD,1820,1653,1880,4629
AUDI,Q5,2012,AWD,1845,1653,1880,4629
AUDI,Q5,2014,AWD,1845,1653,1880,4629
AUDI,Q5,2015,AWD,1850,1659,1898,4638
AUDI,Q5,2016,AWD,1850,1656,1897,4638
AUDI,Q5,2017,AWD,1820,1653,1898,4629
AUDI,Q5,2018,AWD,1834,1659,1892,4663
AUDI,Q5,2019,AWD,1850,1659,1892,4663
AUDI,Q5,2021,AWD,1850,1664,1892,4681
AUDI,Q5,2024,AWD,1855,1664,1892,4681
AUDI,Q5,2025,AWD,1870,1655,1900,4695
AUDI,Q5,2026,AWD,1920,1665,1900,4720
AUDI,Q5 PHEV,2021,AWD,2085,1659,1892,4681
AUDI,Q5 PHEV,2024,AWD,2170,1663,1893,4682
AUDI,Q5 PHEV,2025,AWD,2120,1665,1910,4730
AUDI,Q5 SPORTBACK,2021,AWD,1935,1643,1887,4681
AUDI,Q5 SPORTBACK,2024,AWD,1900,1656,1892,4689
AUDI,Q5 SPORTBACK,2025,AWD,2020,1650,1905,4770
AUDI,Q5 SPORTBACK,2026,AWD,1920,1655,1900,4720
AUDI,Q6 E-TRON,2025,AWD,2350,1648,1939,4771
AUDI,Q6 E-TRON,2025,RWD,2215,1648,1938,4771
AUDI,Q6 E-TRON,2027,AWD,2350,1648,1939,4771
AUDI,Q6 E-TRON,2027,RWD,2200,1645,1939,4771
AUDI,Q6 SPORTBACK E-TRON,2025,AWD,2325,1648,1939,4771
AUDI,Q6 SPORTBACK E-TRON,2027,AWD,2400,1608,1938,4771
AUDI,Q7,2007,AWD,2390,1737,1983,5086
AUDI,Q7,2008,AWD,2340,1737,1983,5086
AUDI,Q7,2010,AWD,2345,1737,1983,5089
AUDI,Q7,2012,AWD,2345,1737,1984,5090
AUDI,Q7,2013,AWD,2320,1737,1983,5089
AUDI,Q7,2014,AWD,2320,1737,1983,5089
AUDI,Q7,2017,AWD,2045,1741,1968,5052
AUDI,Q7,2018,AWD,2145,1740,1968,5062
AUDI,Q7,2019,AWD,2150,1741,1968,5052
AUDI,Q7,2020,AWD,2280,1740,1971,5063
AUDI,Q7,2021,AWD,2211,1745,1971,5062
AUDI,Q7,2024,AWD,2299,1746,1971,5062
AUDI,Q7,2025,AWD,2300,1745,1971,5062
AUDI,Q7,2026,AWD,2435,1741,1970,5064
AUDI,Q8,2021,AWD,2270,1707,1994,4994
AUDI,Q8,2024,AWD,2268,1707,1994,4994
AUDI,Q8,2025,AWD,2220,1705,1995,4992
AUDI,Q8,2026,AWD,2275,1707,1994,4996
AUDI,Q8 E-TRON,2024,AWD,2650,1648,1938,4915
AUDI,Q8 E-TRON,2025,AWD,2586,1633,1937,4915
AUDI,Q8 SPORTBACK E-TRON,2024,AWD,2585,1633,1935,4915
AUDI,Q8 SPORTBACK E-TRON,2025,AWD,2620,1619,1935,4915
AUDI,R8,2014,AWD,1560,1250,1930,4435
AUDI,R8,2017,AWD,1595,1240,1940,4426
AUDI,R8,2018,AWD,1595,1240,1940,4426
AUDI,R8,2021,AWD,1640,1240,1941,4430
AUDI,R8,2021,RWD,1595,1240,1940,4429
AUDI,R8 SPYDER,2021,AWD,1770,1242,1940,4429
AUDI,R8 SPYDER,2021,RWD,1700,1242,1940,4429
AUDI,RS 3,2024,AWD,1575,1412,1851,4507
