Make,Model,Year,Drive Train,Kerb Weight,Car Height,Car Length,Car Width
AUDI,Q5 SPORTBACK,2026,AWD,1920,1655,4720,1900
AUDI,Q7,2026,AWD,2435,1741,5064,1970
AUDI,Q8,2026,AWD,2275,1707,4996,1994
AUDI,RS 3,2026,AWD,1580,1410,4550,1850
AUDI,RS 6 AVANT PERFORMANCE,2026,AWD,2090,1470,4995,1951
AUDI,RS 7 PERFORMANCE,2026,AWD,2060,1425,5010,1952
AUDI,RS E-TRON GT PERFORMANCE,2026,AWD,2320,1385,4995,1965
AUDI,RS Q8 PERFORMANCE,2026,AWD,2390,1694,5012,1998
AUDI,S3,2026,AWD,1590,1412,4505,1818
AUDI,S5,2026,AWD,1860,1405,4780,1850
AUDI,S8,2026,AWD,2350,1480,5210,1950
AUDI,S E-TRON GT,2026,AWD,2330,1390,4995,1965
AUDI,SQ5,2026,AWD,2000,1660,4710,1900
AUDI,SQ5 SPORTBACK,2026,AWD,2030,1630,4710,1900
AUDI,SQ7,2026,AWD,2380,1745,5065,1970
AUDI,SQ8,2026,AWD,2435,1715,5070,1981
BENTLEY,BENTAYGA (4 SEAT),2026,AWD,2490,1740,5130,2000
BENTLEY,BENTAYGA HYBRID,2026,AWD,2700,1730,5140,2000
BENTLEY,BENTAYGA V8,2026,AWD,2416,1729,5125,1998
BENTLEY,BENTAYGA V8 EWB,2026,AWD,2514,1722,5305,1998
BENTLEY,BENTAYGA V8 SPEED,2026,AWD,2416,1739,5125,1998
BENTLEY,CONTINENTAL GT,2026,AWD,2250,1400,4850,1964
BENTLEY,CONTINENTAL GT CONVERTIBLE,2026,AWD,2475,1400,4855,1964
BENTLEY,FLYING SPUR (4 SEAT),2026,AWD,2520,1485,5325,1980
BENTLEY,FLYING SPUR (5 SEAT),2026,AWD,2520,1488,5319,1978
BMW,2 SERIES COUPE,2026,AWD,1756,1392,4557,1839
BMW,2 SERIES COUPE,2026,RWD,1575,1390,4547,1839
BMW,2 SERIES GRAN COUPE,2026,AWD,1620,1420,4540,1805
BMW,2 SERIES GRAN COUPE,2026,FWD,1580,1430,4550,1810
BMW,3 SERIES SEDAN,2026,AWD,1700,1440,4720,1830
BMW,3 SERIES SEDAN,2026,RWD,1635,1435,4735,1830
BMW,4 SERIES CONVERTIBLE,2026,AWD,1920,1385,4785,1855
BMW,4 SERIES CONVERTIBLE,2026,RWD,1830,1385,4780,1855
BMW,4 SERIES COUPE,2026,AWD,1700,1385,4780,1855
BMW,4 SERIES COUPE,2026,RWD,1625,1385,4770,1852
BMW,4 SERIES GRAN COUPE,2026,AWD,1790,1450,4795,1855
BMW,4 SERIES GRAN COUPE,2026,RWD,1710,1445,4790,1855
BMW,5 SERIES HYBRID SEDAN,2026,AWD,2200,1515,5060,1900
BMW,5 SERIES SEDAN,2026,AWD,1932,1514,5093,1900
BMW,5 SERIES SEDAN,2026,RWD,1845,1515,5060,1900
BMW,7 SERIES HYBRID SEDAN,2026,AWD,2590,1545,5395,1950
BMW,7 SERIES SEDAN,2026,AWD,2380,1544,5391,1950
BMW,7 SERIES SEDAN,2026,RWD,2200,1545,5390,1950
BMW,8 SERIES CONVERTIBLE,2026,AWD,2165,1340,4855,1908
BMW,8 SERIES CONVERTIBLE,2026,RWD,2015,1345,4855,1905
BMW,8 SERIES COUPE,2026,AWD,2020,1347,4860,1905
BMW,8 SERIES COUPE,2026,RWD,1930,1345,4860,1905
BMW,8 SERIES GRAN COUPE,2026,AWD,2080,1407,5077,1933
BMW,8 SERIES GRAN COUPE,2026,RWD,1960,1410,5090,1935
BMW,ALPINA XB7,2026,AWD,2750,1810,5190,2000
BMW,I4 GRAN COUPE,2026,AWD,2215,1448,4783,1852
BMW,I4 GRAN COUPE,2026,RWD,2125,1450,4785,1850
BMW,I5 SEDAN,2026,AWD,2275,1515,5060,1900
BMW,I5 SEDAN,2026,RWD,2195,1515,5060,1900
BMW,I7 SEDAN,2026,AWD,2750,1544,5391,1950
BMW,I7 SEDAN,2026,RWD,2570,1537,5391,1950
BMW,IX,2026,AWD,2585,1695,4953,1967
BMW,M2 COUPE,2026,RWD,1725,1403,4580,1887
BMW,M3 SEDAN,2026,AWD,1815,1438,4795,1904
BMW,M3 SEDAN,2026,RWD,1800,1440,4800,1905
BMW,M4 CONVERTIBLE,2026,AWD,1950,1390,4794,1918
BMW,M4 CONVERTIBLE,2026,RWD,1910,1395,4794,1887
BMW,M4 COUPE,2026,AWD,1805,1395,4800,1890
BMW,M4 COUPE,2026,RWD,1725,1393,4794,1887
BMW,M5 HYBRID SEDAN,2026,AWD,2450,1490,5070,1915
BMW,M5 HYBRID WAGON,2026,AWD,2480,1495,5080,1960
BMW,X1,2026,AWD,1690,1642,4500,1845
BMW,X2,2026,AWD,1795,1590,4554,1845
BMW,X3,2026,AWD,1890,1670,4750,1895
BMW,X5,2026,AWD,2230,1765,4935,2004
BMW,X5,2026,RWD,2200,1765,4940,2005
BMW,X5 HYBRID,2026,AWD,2500,1780,4940,2005
BMW,X5 M,2026,AWD,2450,1750,4950,2020
BMW,X6,2026,AWD,2170,1700,4960,2004
BMW,X6 M,2026,AWD,2480,1710,4970,2030
BMW,X7,2026,AWD,2438,1834,5182,1999
BMW,XM,2026,AWD,2750,1755,5110,2005
BMW,Z4,2026,RWD,1630,1305,4335,1868
BUICK,ENCLAVE,2026,AWD,2150,1773,5197,2012
BUICK,ENCLAVE,2026,FWD,1990,1780,5195,2020
BUICK,ENCORE GX,2026,AWD,1545,1635,4265,1815
BUICK,ENCORE GX,2026,FWD,1470,1641,4354,1813
BUICK,ENVISION,2026,AWD,1767,1641,4656,1882
BUICK,ENVISTA,2026,FWD,1413,1539,4638,1816
CADILLAC,CELESTIQ,2026,AWD,3084,1557,5504,2154
CADILLAC,CT4,2026,AWD,1685,1425,4760,1815
CADILLAC,CT4,2026,RWD,1585,1422,4772,1815
CADILLAC,CT4-V BLACKWING,2026,RWD,1751,1397,4750,1816
CADILLAC,CT5,2026,AWD,1780,1455,4925,1885
CADILLAC,CT5,2026,RWD,1700,1452,4925,1883
CADILLAC,CT5-V BLACKWING,2026,RWD,1890,1422,4940,1881
CADILLAC,CT5 WITH V6,2026,AWD,1850,1455,4925,1885
CADILLAC,CT5 WITH V6,2026,RWD,1805,1455,4930,1885
CADILLAC,ESCALADE,2026,4WD,2750,1948,5382,2057
CADILLAC,ESCALADE,2026,RWD,2650,1945,5400,2060
CADILLAC,ESCALADE ESV,2026,4WD,2900,1950,5760,2060
CADILLAC,ESCALADE ESV,2026,RWD,2700,1950,5770,2060
CADILLAC,LYRIQ,2026,AWD,2778,1623,4996,1976
CADILLAC,LYRIQ,2026,RWD,2545,1623,4996,1976
CADILLAC,LYRIQ-V,2026,AWD,2730,1615,4996,1985
CADILLAC,OPTIQ,2026,AWD,2425,1644,4821,1912
CADILLAC,OPTIQ,2026,RWD,2250,1620,4750,1920
CADILLAC,OPTIQ-V,2026,AWD,2420,1595,4845,1935
CADILLAC,VISTIQ,2026,AWD,3050,1680,5200,2020
CADILLAC,XT5,2026,AWD,1845,1679,4815,1903
CADILLAC,XT5,2026,FWD,1805,1680,4815,1905
CHEVROLET,BLAZER,2026,AWD,1900,1702,4897,1948
CHEVROLET,BLAZER,2026,FWD,1830,1702,4862,1948
CHEVROLET,BLAZER EV,2026,AWD,2517,1646,4935,1930
CHEVROLET,BLAZER EV,2026,FWD,2415,1664,4897,1948
CHEVROLET,BLAZER EV,2026,RWD,2400,1651,4882,1930
CHEVROLET,COLORADO,2026,4WD,2200,2050,5400,1940
CHEVROLET,COLORADO,2026,RWD,2080,2020,5403,1902
CHEVROLET,COLORADO - ZR2 BISON,2026,4WD,2420,2100,5410,1970
CHEVROLET,CORVETTE,2026,RWD,1530,1235,4630,1934
CHEVROLET,CORVETTE,2026,RWD,1560,1235,4635,1935
CHEVROLET,CORVETTE E-RAY,2026,AWD,1712,1235,4630,2024
CHEVROLET,CORVETTE E-RAY,2026,AWD,1800,1234,4630,2024
CHEVROLET,CORVETTE ZR1,2026,RWD,1630,1235,4685,2025
CHEVROLET,CORVETTE ZR1,2026,RWD,1630,1235,4695,2025
CHEVROLET,EQUINOX,2026,AWD,1701,1659,4653,1867
CHEVROLET,EQUINOX,2026,FWD,1569,1656,4653,1859
CHEVROLET,EQUINOX EV,2026,AWD,2177,1646,4630,1862
CHEVROLET,EQUINOX EV,2026,FWD,2050,1646,4821,1866
CHEVROLET,EXPRESS CARGO 2500,2026,RWD,2320,2101,5692,2017
CHEVROLET,EXPRESS CARGO 3500,2026,RWD,2400,2101,5692,2017
CHEVROLET,EXPRESS PASSENGER 2500,2026,RWD,2430,2149,5692,2017
CHEVROLET,EXPRESS PASSENGER 3500,2026,RWD,2550,2150,5690,2020
CHEVROLET,SILVERADO 1500,2026,4WD,2425,1920,5916,2075
CHEVROLET,SILVERADO 1500,2026,4WD,2400,1920,5890,2065
CHEVROLET,SILVERADO 1500,2026,4WD,2390,1925,6130,2064
CHEVROLET,SILVERADO 1500,2026,RWD,2150,1920,5885,2060
CHEVROLET,SILVERADO 1500,2026,RWD,2250,1920,5915,2065
CHEVROLET,SILVERADO 1500,2026,RWD,2250,1918,6000,2073
CHEVROLET,SILVERADO 2500,2026,4WD,3580,2056,6365,2079
CHEVROLET,SILVERADO 2500,2026,4WD,3350,2045,6363,2083
CHEVROLET,SILVERADO 2500,2026,4WD,3150,2020,6350,2075
CHEVROLET,SILVERADO 2500,2026,RWD,3050,2020,6350,2070
CHEVROLET,SILVERADO 2500,2026,RWD,3150,2000,6350,2080
CHEVROLET,SILVERADO 2500,2026,RWD,3075,2027,6368,2079
CHEVROLET,SILVERADO EV,2026,AWD,3800,1995,5920,2020
CHEVROLET,SUBURBAN,2026,4WD,2750,1925,5733,2060
CHEVROLET,SUBURBAN,2026,RWD,2550,1925,5352,2060
CHEVROLET,TAHOE,2026,4WD,2620,1930,5360,2065
CHEVROLET,TAHOE,2026,RWD,2470,1925,5352,2057
CHEVROLET,TRAILBLAZER,2026,AWD,1530,1660,4430,1810
CHEVROLET,TRAILBLAZER,2026,FWD,1415,1658,4407,1808
CHEVROLET,TRAVERSE,2026,AWD,2105,1786,5194,2019
CHEVROLET,TRAVERSE,2026,FWD,1980,1816,5194,2019
CHEVROLET,TRAX,2026,FWD,1384,1560,4564,1824
CHRYSLER,PACIFICA,2026,FWD,2040,1777,5182,2022
CHRYSLER,PACIFICA AWD,2026,AWD,2250,1775,5192,2022
CHRYSLER,PACIFICA HYBRID,2026,FWD,2270,1790,5176,2022
CHRYSLER,VOYAGER,2026,FWD,2020,1780,5180,2025
DODGE,CHARGER,2026,AWD,2648,1499,5248,2027
DODGE,CHARGER,2026,AWD,2370,1500,5248,2027
DODGE,CHARGER DAYTONA,2026,AWD,2650,1455,5248,2027
DODGE,CHARGER DAYTONA,2026,AWD,2650,1495,5245,2027
DODGE,DURANGO,2026,AWD,2380,1810,5110,1935
DODGE,DURANGO,2026,RWD,2300,1835,5080,1975
DODGE,DURANGO PURSUIT,2026,AWD,2600,1830,5110,1960
DODGE,DURANGO SRT,2026,AWD,2550,1805,5100,1970
FIAT,500E,2026,FWD,1375,1530,3630,1690
FORD,BRONCO 2DR,2026,4WD,2050,1826,4412,1928
FORD,BRONCO 4DR,2026,4WD,2300,1980,4811,2014
FORD,BRONCO SPORT,2026,4WD,1630,1790,4387,1887
FORD,ESCAPE GAS,2026,AWD,1680,1700,4600,1880
FORD,ESCAPE GAS,2026,FWD,1530,1720,4600,1885
FORD,ESCAPE HEV,2026,AWD,1725,1680,4605,1885
FORD,ESCAPE HEV,2026,FWD,1610,1680,4600,1880
FORD,ESCAPE PHEV,2026,FWD,1770,1700,4600,1880
FORD,EXPEDITION,2026,4WD,2585,1935,5334,2029
FORD,EXPEDITION,2026,RWD,2450,1940,5335,2030
FORD,EXPEDITION MAX,2026,4WD,2680,1935,5635,2030
FORD,EXPEDITION MAX,2026,RWD,2631,1938,5636,2029
FORD,EXPLORER GAS,2026,4WD,2100,1775,5049,2004
FORD,EXPLORER GAS,2026,RWD,1970,1783,5050,2004
FORD,EXPLORER HEV,2026,4WD,2165,1788,5052,2005
FORD,EXPLORER HEV,2026,RWD,2160,1780,5055,2005
FORD,F-150 (REGULAR CAB) GAS,2026,4WD,2180,1965,5885,2032
FORD,F-150 (REGULAR CAB) GAS,2026,RWD,1950,1925,5311,2032
FORD,F-150 (SUPER CAB) GAS,2026,4WD,2280,1965,5885,2032
FORD,F-150 (SUPER CAB) GAS,2026,RWD,2150,1930,5890,2030
FORD,F-150 (SUPER CREW) GAS,2026,4WD,2450,1990,5900,2030
FORD,F-150 (SUPER CREW) GAS,2026,RWD,2300,1980,5890,2035
FORD,F-150 (SUPER CREW) HEV,2026,4WD,2700,1960,5885,2030
FORD,F-150 (SUPER CREW) LIGHTNING BEV,2026,4WD,2950,2004,5911,2032
FORD,F-250 (CREW CAB),2026,4WD,3300,2055,6350,2032
FORD,F-250 (CREW CAB),2026,RWD,3200,2050,6370,2030
FORD,F-250 (REGULAR CAB),2026,4WD,3085,2042,6350,2032
FORD,F-250 (REGULAR CAB),2026,RWD,2750,2035,5888,2032
FORD,F-250 (SUPER CAB),2026,4WD,3400,2065,6350,2032
FORD,F-250 (SUPER CAB),2026,RWD,2750,2030,6350,2030
FORD,MAVERICK,2026,AWD,1690,1747,5075,1845
FORD,MAVERICK,2026,FWD,1630,1745,5070,1845
FORD,MAVERICK HEV,2026,AWD,1635,1740,5075,1845
FORD,MAVERICK HEV,2026,FWD,1665,1745,5072,1844
FORD,MUSTANG,2026,RWD,1780,1400,4810,1915
FORD,MUSTANG,2026,RWD,1750,1400,4810,1915
FORD,MUSTANG GTD,2026,RWD,1490,1390,4820,2047
FORD,MUSTANG MACH-E BEV,2026,AWD,2320,1615,4724,1881
FORD,MUSTANG MACH-E BEV,2026,RWD,2075,1615,4713,1881
FORD,MUSTANG NO REAR SEAT,2026,RWD,1725,1410,4810,1920
FORD,RANGER (SUPER CREW),2026,4WD,2130,1885,5360,1975
FORD,RANGER (SUPER CREW),2026,RWD,2030,1885,5370,1920
FORD,TRANSIT VAN BEV,2026,RWD,3000,2500,5980,2060
FORD,TRANSIT VAN GAS,2026,AWD,2550,2530,5980,2060
FORD,TRANSIT VAN GAS,2026,RWD,2400,2560,5982,2456
FORD,TRANSIT WAGON - HIGH ROOF 12 PASS,2026,AWD,2800,2790,5980,2060
FORD,TRANSIT WAGON - HIGH ROOF 12 PASS,2026,RWD,2900,2779,5982,2065
FORD,TRANSIT WAGON - HIGH ROOF 15 PASS,2026,AWD,3150,2780,6700,2065
FORD,TRANSIT WAGON - HIGH ROOF 15 PASS,2026,RWD,2850,2797,6703,2065
FORD,TRANSIT WAGON - LOW ROOF 12 PASS,2026,AWD,2700,2088,6035,2065
FORD,TRANSIT WAGON - LOW ROOF 12 PASS,2026,RWD,2495,2088,5982,2065
FORD,TRANSIT WAGON - LOW ROOF 15 PASS,2026,AWD,2884,2583,6703,2065
FORD,TRANSIT WAGON - LOW ROOF 15 PASS,2026,RWD,2600,2067,6704,2059
FORD,TRANSIT WAGON - MED ROOF 12 PASS,2026,AWD,2750,2550,5980,2065
FORD,TRANSIT WAGON - MED ROOF 12 PASS,2026,RWD,2600,2520,5982,2065
FORD,TRANSIT WAGON - MED ROOF 15 PASS,2026,AWD,3150,2520,6703,2062
FORD,TRANSIT WAGON - MED ROOF 15 PASS,2026,RWD,2810,2560,6703,2065
GENESIS,ELECTRIFIED G80,2026,AWD,2326,1496,5004,1925
GENESIS,ELECTRIFIED GV70,2026,AWD,2315,1635,4715,1910
GENESIS,G70,2026,AWD,1790,1400,4685,1850
GENESIS,G70,2026,RWD,1720,1405,4705,1855
GENESIS,G80,2026,AWD,2020,1470,5000,1925
GENESIS,G90,2026,AWD,2300,1490,5275,1930
GENESIS,GV60,2026,AWD,2250,1580,4515,1855
GENESIS,GV60,2026,RWD,1980,1580,4515,1890
GENESIS,GV70,2026,AWD,2000,1630,4720,1900
GENESIS,GV80,2026,AWD,2230,1715,4950,1965
GENESIS,GV80,2026,RWD,2050,1715,4945,1965
GENESIS,GV80 COUPE,2026,AWD,2375,1705,4960,1975
GMC,ACADIA,2026,AWD,2100,1773,5182,1981
GMC,ACADIA,2026,FWD,1980,1748,5182,2024
GMC,CANYON,2026,4WD,2290,2000,5410,2005
GMC,CANYON,2026,RWD,2000,2027,5415,1902
GMC,CANYON - AT4X AEV,2026,4WD,2450,2111,5415,1930
GMC,SAVANA CARGO 2500,2026,RWD,2500,2155,5692,2017
GMC,SAVANA CARGO 3500,2026,RWD,2404,2151,6198,2017
GMC,SAVANA PASSENGER 2500,2026,RWD,2600,2085,5700,2015
GMC,SAVANA PASSENGER 3500,2026,RWD,2750,2090,6200,2015
GMC,SIERRA 1500,2026,4WD,2420,1960,5885,2063
GMC,SIERRA 1500,2026,4WD,2426,1925,5885,2062
GMC,SIERRA 1500,2026,4WD,2400,1940,6130,2065
GMC,SIERRA 1500,2026,RWD,2250,1920,6128,2063
GMC,SIERRA 1500,2026,RWD,2280,1930,5910,2065
GMC,SIERRA 1500,2026,RWD,2250,1925,5885,2062
GMC,SIERRA 2500,2026,4WD,3350,2030,6370,2080
GMC,SIERRA 2500,2026,4WD,3400,2040,6360,2080
GMC,SIERRA 2500,2026,4WD,3450,2050,6370,2080
GMC,SIERRA 2500,2026,RWD,3050,2065,6350,2080
GMC,SIERRA 2500,2026,RWD,3300,1995,6350,2075
GMC,SIERRA 2500,2026,RWD,2950,2050,6360,2080
GMC,SIERRA EV,2026,AWD,3800,1990,5980,2060
GMC,TERRAIN,2026,AWD,1620,1670,4680,1835
GMC,TERRAIN,2026,FWD,1525,1665,4645,1825
GMC,YUKON,2026,4WD,2550,1945,5335,2055
GMC,YUKON,2026,RWD,2420,1945,5335,2057
GMC,YUKON XL,2026,4WD,2700,1943,5720,2057
GMC,YUKON XL,2026,RWD,2700,1945,5720,2060
HONDA,ACCORD HYBRID,2026,FWD,1590,1450,4971,1862
HONDA,ACCORD SEDAN,2026,FWD,1510,1450,4970,1860
HONDA,CIVIC HATCHBACK,2026,FWD,1400,1415,4550,1800
HONDA,CIVIC HATCHBACK HYBRID,2026,FWD,1520,1410,4550,1800
HONDA,CIVIC HATCHBACK TYPE R,2026,FWD,1445,1410,4605,1895
HONDA,CIVIC SEDAN,2026,FWD,1350,1417,4674,1802
HONDA,CIVIC SEDAN HYBRID,2026,FWD,1500,1425,4690,1805
HONDA,CIVIC SEDAN SI,2026,FWD,1350,1410,4680,1805
HONDA,CR-V,2026,AWD,1750,1690,4695,1870
HONDA,CR-V,2026,FWD,1564,1679,4694,1864
HONDA,CR-V FCEV,2026,FWD,1920,1705,4710,1875
HONDA,CR-V HYBRID,2026,AWD,1710,1680,4700,1870
HONDA,CR-V HYBRID,2026,FWD,1635,1690,4700,1865
HONDA,HR-V,2026,AWD,1515,1610,4567,1839
HONDA,HR-V,2026,FWD,1410,1605,4568,1840
HONDA,ODYSSEY,2026,FWD,2030,1755,5220,2000
HONDA,PASSPORT,2026,AWD,1965,1800,4835,1995
HONDA,PILOT,2026,AWD,2125,1803,5077,1994
HONDA,PILOT,2026,FWD,1960,1801,5077,1994
HONDA,PRELUDE,2026,FWD,1450,1390,4700,1810
HONDA,PROLOGUE,2026,AWD,2167,1643,4877,1989
HONDA,PROLOGUE,2026,FWD,2198,1643,4882,1989
HONDA,RIDGELINE,2026,AWD,2090,1800,5350,2000
HONDA,RIDGELINE,2026,FWD,1930,1800,5350,2000
HYUNDAI,ELANTRA,2026,FWD,1320,1420,4730,1830
HYUNDAI,ELANTRA HYBRID,2026,FWD,1380,1415,4675,1825
HYUNDAI,ELANTRA N,2026,FWD,1500,1400,4725,1830
HYUNDAI,IONIQ 5,2026,AWD,2150,1605,4635,1890
HYUNDAI,IONIQ 5,2026,RWD,2045,1605,4700,1890
HYUNDAI,IONIQ 5 N,2026,AWD,2205,1585,4715,1940
HYUNDAI,IONIQ 6,2026,AWD,2093,1495,4855,1880
HYUNDAI,IONIQ 6,2026,RWD,1930,1495,4855,1880
HYUNDAI,IONIQ 6 N,2026,AWD,2200,1480,4890,1930
HYUNDAI,IONIQ 9,2026,AWD,2570,1750,5015,1980
HYUNDAI,IONIQ 9,2026,RWD,2480,1770,5050,2010
HYUNDAI,KONA,2026,AWD,1565,1585,4355,1825
HYUNDAI,KONA,2026,FWD,1390,1580,4355,1825
HYUNDAI,KONA ELECTRIC,2026,RWD,1750,1580,4375,1825
HYUNDAI,NEXO,2026,FWD,1900,1650,4720,1870
HYUNDAI,PALISADE,2026,AWD,2080,1760,5010,1980
HYUNDAI,PALISADE,2026,FWD,1980,1760,5015,1985
HYUNDAI,PALISADE HYBRID,2026,AWD,2200,1760,5010,1980
HYUNDAI,PALISADE HYBRID,2026,FWD,2080,1755,5015,1985
HYUNDAI,SANTA CRUZ,2026,AWD,1850,1700,4970,1905
HYUNDAI,SANTA CRUZ,2026,FWD,1790,1698,4985,1908
HYUNDAI,SANTA FE,2026,AWD,2124,1770,4831,1900
HYUNDAI,SANTA FE,2026,FWD,1941,1770,4999,1899
HYUNDAI,SANTA FE HYBRID,2026,AWD,2090,1740,4830,1900
HYUNDAI,SANTA FE HYBRID,2026,FWD,2045,1720,4831,1899
HYUNDAI,SONATA,2026,AWD,1610,1445,4910,1860
HYUNDAI,SONATA,2026,FWD,1480,1440,4900,1860
HYUNDAI,SONATA HYBRID,2026,FWD,1600,1445,4910,1860
HYUNDAI,TUCSON,2026,AWD,1731,1666,4630,1864
HYUNDAI,TUCSON,2026,FWD,1545,1665,4630,1865
HYUNDAI,TUCSON HYBRID,2026,AWD,1755,1680,4630,1865
HYUNDAI,TUCSON PLUG-IN HYBRID,2026,AWD,1845,1666,4630,1864
HYUNDAI,VENUE,2026,FWD,1210,1565,4041,1770
INFINITI,QX60,2026,AWD,2091,1770,5034,1978
INFINITI,QX60,2026,FWD,1964,1775,5034,1981
INFINITI,QX80,2026,AWD,2780,1935,5380,2050
INFINITI,QX80,2026,RWD,2615,1950,5385,2032
JAGUAR,F-PACE,2026,4WD,2300,1670,4747,1936
JEEP,CHEROKEE,2026,AWD,1920,1710,4680,1880
JEEP,COMPASS,2026,AWD,1670,1655,4410,1820
JEEP,GLADIATOR,2026,4WD,2280,1920,5591,1894
JEEP,GRAND CHEROKEE,2026,4WD,2200,1800,4915,1970
JEEP,GRAND CHEROKEE,2026,RWD,1930,1801,4915,1968
JEEP,GRAND CHEROKEE L,2026,4WD,2250,1816,5189,1963
JEEP,GRAND CHEROKEE L,2026,RWD,2130,1798,5204,1963
JEEP,GRAND CHEROKEE L V6,2026,4WD,2188,1816,5189,1963
JEEP,GRAND CHEROKEE L V6,2026,RWD,2045,1816,5189,1974
JEEP,GRAND CHEROKEE V6,2026,4WD,2050,1790,4920,1970
JEEP,GRAND CHEROKEE V6,2026,RWD,1920,1765,4915,1968
JEEP,GRAND WAGONEER,2026,4WD,2915,1943,5453,2123
JEEP,GRAND WAGONEER,2026,RWD,2820,1930,5450,2120
JEEP,GRAND WAGONEER L,2026,4WD,3080,1920,5758,2123
JEEP,GRAND WAGONEER L,2026,RWD,3055,1925,5758,2123
JEEP,WAGONEER S,2026,AWD,2800,1720,5150,2000
JEEP,WRANGLER 2-DOOR,2026,4WD,1910,1890,4240,1880
JEEP,WRANGLER 4-DOOR,2026,4WD,2120,1900,4790,1895
JEEP,WRANGLER 4-DOOR 392,2026,4WD,2380,1930,4800,1875
JEEP,WRANGLER 4-DOOR RHD,2026,4WD,2050,1880,4882,1915
KIA,CARNIVAL,2026,FWD,2170,1740,5155,1995
KIA,CARNIVAL HYBRID,2026,FWD,2290,1740,5166,1994
KIA,EV4,2026,FWD,1900,1630,4480,1860
KIA,EV6,2026,AWD,2165,1550,4695,1890
KIA,EV6,2026,RWD,1950,1555,4710,1895
KIA,EV9,2026,AWD,2630,1755,5010,1980
KIA,EV9,2026,RWD,2383,1755,5010,1980
KIA,K4,2026,FWD,1410,1450,4710,1850
KIA,K4 5DR,2026,FWD,1420,1450,4580,1850
KIA,K5,2026,AWD,1615,1445,4910,1860
KIA,K5,2026,FWD,1520,1445,4905,1869
KIA,NIRO,2026,FWD,1480,1545,4425,1825
KIA,NIRO ELECTRIC,2026,FWD,1700,1575,4440,1830
KIA,NIRO PHEV,2026,FWD,1600,1545,4420,1825
KIA,SELTOS,2026,AWD,1500,1650,4400,1805
KIA,SELTOS,2026,FWD,1325,1635,4395,1800
KIA,SORENTO,2026,AWD,1980,1705,4820,1900
KIA,SORENTO,2026,FWD,1750,1700,4810,1900
KIA,SORENTO HYBRID,2026,AWD,2000,1720,4815,1900
KIA,SORENTO HYBRID,2026,FWD,1890,1700,4810,1900
KIA,SORENTO PHEV,2026,AWD,2095,1700,4815,1900
KIA,SPORTAGE,2026,AWD,1620,1670,4670,1870
KIA,SPORTAGE,2026,FWD,1530,1660,4660,1865
KIA,SPORTAGE HYBRID,2026,AWD,1750,1665,4660,1865
KIA,SPORTAGE HYBRID,2026,FWD,1700,1661,4660,1864
KIA,SPORTAGE PHEV,2026,AWD,1980,1675,4690,1875
LAND ROVER,DEFENDER 110,2026,4WD,2361,1972,5018,2008
LAND ROVER,DEFENDER 130,2026,4WD,2700,1970,5360,2010
LAND ROVER,DEFENDER 90,2026,4WD,2235,1969,4583,2008
LAND ROVER,DISCOVERY,2026,4WD,2400,1890,4970,2080
LAND ROVER,DISCOVERY SPORT,2026,4WD,1980,1730,4600,2070
LAND ROVER,RANGE ROVER EVOQUE,2026,4WD,1840,1649,4371,1904
